employee_id,employee_department,training_name,training_duration_days,training_cost_eur,start_date,completion_date,completion_status,site
EMP_200001,R&D,Python Advanced,6,2371,2017-03-20,2017-03-27,Completed,Paris
EMP_200001,R&D,Cloud Architecture AWS,4,2772,2019-07-07,,InProgress,Paris
EMP_200001,R&D,Agile Scrum,2,773,2020-01-02,,Cancelled,Paris
EMP_200001,R&D,Cloud Architecture AWS,4,2433,2025-09-11,2025-09-17,Completed,Paris
EMP_200002,R&D,Cloud Architecture AWS,4,2434,2021-10-08,2021-10-14,Completed,Paris
EMP_200003,R&D,Deep Learning,7,3502,2018-05-07,2018-05-14,Completed,Paris
EMP_200004,R&D,Data Engineering,5,2266,2015-07-20,2015-07-30,Completed,Paris
EMP_200004,R&D,Data Engineering,5,2087,2016-12-11,,InProgress,Paris
EMP_200004,R&D,Data Engineering,5,2104,2019-09-25,2019-10-04,Completed,Paris
EMP_200005,R&D,Cloud Architecture AWS,4,2239,2015-03-24,2015-04-02,Completed,Paris
EMP_200005,R&D,Deep Learning,7,2916,2017-02-09,,Cancelled,Paris
EMP_200006,R&D,Machine Learning,5,2510,2015-05-29,2015-06-06,Completed,Paris
EMP_200007,R&D,Data Engineering,5,2397,2016-01-19,2016-01-24,Completed,Paris
EMP_200007,R&D,Cloud Architecture AWS,4,2529,2017-10-13,,Cancelled,Paris
EMP_200007,R&D,Agile Scrum,2,821,2018-11-27,2018-12-01,Completed,Paris
EMP_200007,R&D,Python Advanced,6,2066,2019-10-05,,Cancelled,Paris
EMP_200008,R&D,Deep Learning,7,2972,2016-10-22,2016-11-01,Completed,Paris
EMP_200008,R&D,Deep Learning,7,2981,2018-08-17,2018-08-24,Completed,Paris
EMP_200008,R&D,Cloud Architecture AWS,4,2498,2021-05-05,,Cancelled,Paris
EMP_200008,R&D,Deep Learning,7,3197,2023-11-12,2023-11-22,Completed,Paris
EMP_200008,R&D,Cloud Architecture AWS,4,2296,2024-03-05,2024-03-11,Completed,Paris
EMP_200009,R&D,Python Advanced,6,2024,2018-03-04,,InProgress,Paris
EMP_200009,R&D,Cloud Architecture AWS,4,2579,2019-05-26,2019-06-04,Completed,Paris
