EmployeeID,ChangeDate,FromJobTitle,ToJobTitle,SalaryBefore,SalaryAfter,ChangeType,DepartmentCode,Site
200001,01/06/2013,,Data Scientist,,97920,Hire,RD,Paris
200001,01/04/2015,Data Scientist,R&D Manager,97920,100057,Lateral_Move,RD,Paris
200001,18/05/2017,R&D Manager,Lead Engineer,100057,103197,Promotion,RD,Paris
200001,12/06/2020,Lead Engineer,ML Engineer,103197,116108,Promotion,RD,Paris
200002,02/05/2013,,R&D Manager,,62400,Hire,RD,Paris
200002,26/01/2016,R&D Manager,ML Engineer,62400,64079,Lateral_Move,RD,Paris
200002,20/01/2018,ML Engineer,Software Engineer,64079,66972,Lateral_Move,RD,Paris
200002,04/04/2019,Software Engineer,R&D Manager,66972,66659,Lateral_Move,RD,Paris
200003,19/12/2012,,Data Scientist,,82720,Hire,RD,Paris
200003,07/01/2015,Data Scientist,R&D Manager,82720,83526,Lateral_Move,RD,Paris
200003,27/05/2016,R&D Manager,Research Scientist,83526,84635,Lateral_Move,RD,Paris
200004,17/06/2013,,Data Scientist,,71040,Hire,RD,Paris
200004,22/12/2014,Data Scientist,Research Scientist,71040,68828,Demotion,RD,Paris
200004,08/04/2016,Research Scientist,R&D Manager,68828,69172,Lateral_Move,RD,Paris
200004,17/12/2017,R&D Manager,Senior Engineer,69172,81543,Promotion,RD,Paris
200005,15/06/2014,,Software Engineer,,90160,Hire,RD,Paris
200005,30/09/2015,Software Engineer,Data Scientist,90160,98684,Promotion,RD,Paris
200006,27/03/2015,,Data Scientist,,78000,Hire,RD,Paris
200007,05/09/2012,,Senior Engineer,,130659,Hire,RD,Paris
200007,16/10/2014,Senior Engineer,Research Scientist,130659,132842,Lateral_Move,RD,Paris
200007,29/10/2016,Research Scientist,Lead Engineer,132842,134907,Lateral_Move,RD,Paris
200007,06/04/2018,Lead Engineer,Data Scientist,134907,131694,Demotion,RD,Paris
200008,18/03/2015,,R&D Manager,,66000,Hire,RD,Paris
200008,03/04/2016,R&D Manager,Lead Engineer,66000,77159,Promotion,RD,Paris
200008,16/10/2017,Lead Engineer,Senior Engineer,77159,83141,Promotion,RD,Paris
200008,24/01/2020,Senior Engineer,Software Engineer,83141,82810,Lateral_Move,RD,Paris
200009,21/03/2012,,Data Scientist,,75200,Hire,RD,Paris
200009,04/04/2013,Data Scientist,Senior Engineer,75200,77438,Lateral_Move,RD,Paris
200009,01/08/2014,Senior Engineer,ML Engineer,77438,78911,Lateral_Move,RD,Paris
200009,06/09/2015,ML Engineer,Senior Engineer,78911,78594,Lateral_Move,RD,Paris
200010,28/09/2014,,Software Engineer,,75460,Hire,RD,Paris
200010,29/09/2015,Software Engineer,R&D Manager,75460,80291,Promotion,RD,Paris
200011,21/09/2014,,Software Engineer,,123480,Hire,RD,Paris
200011,17/01/2017,Software Engineer,R&D Manager,123480,123255,Lateral_Move,RD,Paris
200011,28/03/2019,R&D Manager,Senior Engineer,123255,120177,Demotion,RD,Paris
200011,19/04/2021,Senior Engineer,Data Scientist,120177,120742,Lateral_Move,RD,Paris
200012,17/01/2012,,Software Engineer,,74260,Hire,RD,Paris
200012,19/10/2013,Software Engineer,ML Engineer,74260,79025,Promotion,RD,Paris
200012,10/06/2015,ML Engineer,R&D Manager,79025,93787,Promotion,RD,Paris
200012,08/05/2018,R&D Manager,Data Scientist,93787,90518,Demotion,RD,Paris
200013,04/10/2012,,Research Scientist,,79900,Hire,RD,Paris
200013,19/02/2015,Research Scientist,ML Engineer,79900,86390,Promotion,RD,Paris
200013,02/02/2017,ML Engineer,Research Scientist,86390,97380,Promotion,RD,Paris
200013,06/08/2019,Research Scientist,ML Engineer,97380,97431,Lateral_Move,RD,Paris
200014,22/04/2013,,Research Scientist,,113280,Hire,RD,Paris
