EmployeeID,Department,Formation,Duree_jours,Date,Cout_USD
EMP-0001,sales,Communication,5,2022/02/18,$1500
EMP-0001,Sales,HR Policies,5,2023/07/01,350.00
EMP-0001,sales,Customer Relations,5,08-03-2022,$750
EMP-0002,R&D,Customer Relations,2,02-16-2023,200
EMP-0002,r&d,Technical Skills,2,2020/09/21,$350
EMP-0007,RandD,Excel & Reporting,5,08-28-2022,350
EMP-0008,r&d,Communication,1,23/04/2020,1500.00
EMP-0010,R&D,Communication,2,09-11-2020,750.00
EMP-0010,R&D,Excel & Reporting,1,11/06/2021,500.00
EMP-0010,RandD,Onboarding,3,11/02/2022,$350
EMP-0011,RandD,Project Management,1,2022/03/27,1 500
EMP-0011,r&d,Excel & Reporting,3,23/03/2021,1 000
EMP-0012,r&d,Data Analysis,3,09-04-2022,1500
EMP-0012,RandD,Leadership & Management,2,2021/02/02,1500.00
EMP-0013,RandD,Project Management,5,07/09/2023,200.00
EMP-0013,R&D,Communication,2,01-03-2020,1500
EMP-0014,,Excel & Reporting,1,21/02/2023,200
EMP-0014,R&D,HR Policies,1,09-05-2021,750.00
EMP-0014,RandD,Technical Skills,5,2021/06/26,1500.00
EMP-0015,r&d,Onboarding,5,2021/05/27,750.00
EMP-0015,r&d,Excel & Reporting,1,06-02-2020,$1500
EMP-0016,R&D,Communication,5,21/07/2023,200
EMP-0016,r&d,Technical Skills,2,13/11/2022,200
EMP-0018,R&D,Project Management,3,2021/07/12,$1000
EMP-0020,r&d,Customer Relations,3,2020/10/07,350.00
EMP-0021,R&D,Data Analysis,2,04-18-2020,$1500
EMP-0021,RandD,Project Management,2,18/04/2021,750
EMP-0022,,Communication,3,2021/10/03,500
EMP-0022,RandD,Security & Compliance,3,2020/09/10,$500
EMP-0023,sales,Leadership & Management,5,07-08-2021,1000.00
EMP-0023,Sales,Data Analysis,5,22/12/2020,$1000
EMP-0023,sales,Data Analysis,2,2021/02/17,750.00
EMP-0027,Sales,Onboarding,3,2022/07/02,350.00
EMP-0027,Sales,Onboarding,2,03-19-2023,1500.00
EMP-0027,SALES,Customer Relations,2,19/12/2020,1000.00
EMP-0028,R&D,HR Policies,1,2022/03/20,$200
EMP-0028,R&D,Data Analysis,1,2022/06/13,1 000
EMP-0028,R&D,Communication,2,02-05-2021,$200
EMP-0030,r&d,Onboarding,3,04-19-2021,350.00
EMP-0030,R&D,Security & Compliance,1,05-31-2020,200
EMP-0032,RandD,Customer Relations,3,2022/10/15,$500
EMP-0032,r&d,Data Analysis,3,07-13-2021,1000.00
EMP-0033,RandD,Data Analysis,1,2022/06/24,200
EMP-0035,Sales,Security & Compliance,2,2023/12/12,$1000
EMP-0035,Sales,Data Analysis,3,2021/08/09,$200
EMP-0035,Sales,Project Management,1,07/04/2020,500.00
,R&D,Data Analysis,3,29/09/2023,1500
EMP-0039,RandD,Data Analysis,3,2021/01/13,350
EMP-0039,R&D,Data Analysis,3,2020/09/10,750.00
EMP-0040,R&D,Technical Skills,3,2022/07/06,350.00
EMP-0040,R&D,Customer Relations,2,10/06/2023,500
EMP-0045,RandD,Project Management,2,06-30-2020,$350
EMP-0045,R&D,Customer Relations,1,2020/10/27,200
EMP-0045,r&d,Leadership & Management,5,2020/02/21,1 000
EMP-0046,r&d,Customer Relations,2,2021/12/13,1000
EMP-0047,SALES,Customer Relations,1,2020/12/01,500.00
EMP-0047,Sales,Customer Relations,2,2020/09/19,$500
EMP-0047,SALES,Onboarding,1,29/01/2023,$1500
EMP-0049,Sales,Security & Compliance,3,11/03/2022,350
EMP-0049,Sales,Leadership & Management,3,02/10/2020,$1000
EMP-0049,SALES,Communication,3,2023/05/22,$1500
EMP-0051,r&d,Data Analysis,1,10-18-2020,200
EMP-0051,RandD,Data Analysis,2,04-12-2021,200
EMP-0052,SALES,Leadership & Management,1,08-09-2023,350
EMP-0053,R&D,Project Management,2,25/07/2023,1000
EMP-0053,R&D,Leadership & Management,2,2021/08/13,750
EMP-0053,r&d,Communication,3,2022/10/17,500.00
EMP-0054,R&D,Excel & Reporting,3,2023/10/17,500
EMP-0054,r&d,Data Analysis,2,2020/01/01,350
EMP-0054,R&D,Data Analysis,1,07/06/2021,1000
EMP-0055,RandD,Communication,2,22/07/2021,1000
EMP-0055,r&d,Customer Relations,3,02-10-2023,1 000
EMP-0055,r&d,Project Management,2,03/11/2021,1500
EMP-0056,Sales,Excel & Reporting,2,2021/11/29,500
EMP-0057,R&D,Onboarding,3,11-01-2022,1500.00
EMP-0057,r&d,Communication,5,29/06/2023,750
EMP-0058,RandD,Technical Skills,2,02/01/2023,500
EMP-0058,RandD,Leadership & Management,1,2020/01/24,$750
EMP-0061,r&d,Data Analysis,1,20/04/2023,200.00
EMP-0062,sales,Communication,3,05-20-2023,500
EMP-0063,R&D,HR Policies,5,08-21-2021,500
EMP-0064,RandD,Technical Skills,5,20/12/2023,$500
EMP-0065,R&D,Security & Compliance,2,08-09-2020,500
EMP-0065,R&D,Data Analysis,3,2023/04/22,$200
EMP-0068,Sales,Onboarding,2,27/05/2020,350
EMP-0068,Sales,Security & Compliance,3,02-25-2023,1500.00
EMP-0068,Sales,Data Analysis,2,13/12/2020,350
EMP-0070,R&D,Leadership & Management,1,2023/03/30,200.00
EMP-0070,r&d,Communication,2,01-03-2020,1000
EMP-0072,sales,Data Analysis,3,05-02-2022,1500.00
EMP-0072,Sales,Data Analysis,1,24/07/2020,200.00
EMP-0074,Sales,Data Analysis,3,28/06/2020,750
EMP-0076,RandD,Excel & Reporting,3,2021/01/03,200.00
EMP-0076,r&d,Project Management,3,2023/10/07,750.00
EMP-0076,R&D,Communication,5,10/09/2020,1 000
EMP-0078,R&D,HR Policies,3,03-03-2021,1000
EMP-0079,RandD,Technical Skills,2,20/02/2023,$1500
